measured_at,IGCC.IG.II1211A.PV/PLOT,IGCC.IG.TT1228A.PV/PLOT,IGCC.IG.YI1593AA.PV/PLOT,IGCC.IG.TT1227A.PV/PLOT,IGCC.IG.YI1593AB.PV/PLOT,IGCC.IG.YI1594AA.PV/PLOT,IGCC.IG.YI1594AB.PV/PLOT,IGCC.IG.II1211B.PV/PLOT,IGCC.IG.TT1228B.PV/PLOT,IGCC.IG.YI1593BA.PV/PLOT,IGCC.IG.TT1227B.PV/PLOT,IGCC.IG.YI1593BB.PV/PLOT,IGCC.IG.YI1594BA.PV/PLOT,IGCC.IG.YI1594BB.PV/PLOT,IGCC.IG.II1442.PV/PLOT,IGCC.IG.TT1427.PV/PLOT,IGCC.IG.YI1483A.PV/PLOT,IGCC.IG.TT1428.PV/PLOT,IGCC.IG.YI1483B.PV/PLOT,IGCC.IG.YI1484A.PV/PLOT,IGCC.IG.YI1484B.PV/PLOT,IGCC.IG.II7140.PV/PLOT,IGCC.IG.TT7111.PV/PLOT,IGCC.IG.YI7364A.PV/PLOT,IGCC.IG.TT7100.PV/PLOT,IGCC.IG.YI7364B.PV/PLOT,IGCC.IG.YI7365A.PV/PLOT,IGCC.IG.YI7365B.PV/PLOT,IGCC.IG.II7145.PV/PLOT,IGCC.IG.TT7152.PV/PLOT,IGCC.IG.YI7358A.PV/PLOT,IGCC.IG.TT7151.PV/PLOT,IGCC.IG.YI7358B.PV/PLOT,IGCC.IG.YI7359A.PV/PLOT,IGCC.IG.YI7359B.PV/PLOT
2025-12-30 17:54:00,-1.573295,17.24408,0.6418955,15.70357,0.5641161,0.5501802,0.5619488,850.465,61.05235,15.18525,61.74842,15.27263,7.145343,9.698335,461.4781,56.35683,22.63744,49.61984,21.87665,21.08424,29.65156,-1.389602,16.72215,0.9667374,14.1038,0.9344501,0.9482114,0.9592133,228.6376,63.0066,11.75415,53.74147,10.42397,5.695334,6.275503
2025-12-30 17:55:00,-1.522384,17.28044,0.5943244,15.72444,0.5584701,0.5440127,0.5561171,849.2658,60.68337,15.20162,61.93518,15.20053,7.210213,9.704557,459.6941,56.33428,22.52168,49.61801,21.80288,21.55441,29.67075,-1.400314,16.75677,0.966776,14.16543,0.9423224,0.9819443,0.9590071,228.4075,62.99474,11.85348,53.73907,10.49151,5.788929,6.208628
2025-12-30 17:56:00,-1.570208,17.33465,0.6026917,15.75212,0.5779009,0.5309986,0.5783615,848.8096,61.05375,15.21152,61.51963,15.18444,7.189744,9.625654,459.2867,56.3527,22.62461,49.61088,21.48128,21.55676,29.72735,-1.401863,16.82358,0.9769242,14.11144,0.9558062,0.978305,0.9448098,228.1728,63.02827,11.82507,53.72987,10.46992,5.688365,6.206367
2025-12-30 17:57:00,-1.522795,17.28051,0.599324,15.66918,0.5655091,0.5427367,0.5726582,850.617,61.2195,15.15338,61.63425,15.15664,7.131046,9.725554,460.1452,56.35452,22.61598,49.60249,21.42414,21.31358,29.62368,-1.556594,16.7519,0.9628086,14.1146,0.9545391,0.9612637,0.9612129,228.8329,63.03091,11.79984,53.73935,10.40602,5.672502,6.239702
2025-12-30 17:58:00,-1.490479,17.32108,0.6083568,15.62594,0.554327,0.5310506,0.5810062,849.1303,60.79868,15.2242,61.69326,15.17935,7.265844,9.698913,459.499,56.35368,22.59124,49.54321,21.90003,21.32353,29.66107,-1.356942,16.72249,0.9696194,13.99914,0.9444786,0.9629698,0.9315879,228.5458,63.01551,11.81483,53.71178,10.44615,5.524198,6.216106
2025-12-30 17:59:00,-1.368336,17.26954,0.5936115,15.6995,0.5620444,0.5401887,0.5717495,850.854,60.57285,15.14608,61.85859,15.11857,7.255952,9.683308,459.0643,56.35436,22.63233,49.56425,21.79962,21.50302,29.73496,-1.420162,16.65458,0.9991462,14.08124,0.9508958,0.9716161,0.9645088,229.0754,63.00169,11.96144,53.7154,10.56808,5.639625,6.169857
2025-12-30 18:00:00,-1.360377,17.39828,0.5902975,15.72986,0.5628724,0.5269942,0.5489655,849.9973,60.88197,15.29846,61.4426,15.23079,7.179883,9.675354,457.8284,56.34622,22.53691,49.56138,21.51132,21.20337,29.703,-1.306817,16.81774,0.97168,14.10395,0.9546041,0.973547,0.949457,228.372,63.01951,11.78918,53.73104,10.44124,5.777932,6.160418
2025-12-30 18:01:00,-1.501966,17.25092,0.6160206,15.62963,0.5536193,0.5310416,0.5480431,849.4609,60.82054,15.24641,61.75909,15.1637,7.242469,9.683862,457.9007,56.35444,22.51034,49.51464,21.54084,21.33253,29.73197,-1.42237,16.68728,0.9915168,14.11663,0.9910468,0.9540185,0.9607371,227.815,63.04136,11.76469,53.73164,10.47565,5.738101,6.241562
2025-12-30 18:02:00,-1.550981,17.3083,0.6172523,15.72928,0.5780336,0.5263017,0.5639244,850.7867,61.02422,15.17585,61.48594,15.24689,7.23502,9.707746,459.2158,56.34013,22.56344,49.51029,21.6443,21.84554,29.81343,-1.391892,16.80103,0.9770344,14.09698,0.964018,0.9633006,0.9686499,228.5252,63.02133,11.79096,53.72069,10.43752,5.545129,6.134225
2025-12-30 18:03:00,-1.494936,17.25805,0.6146687,15.68172,0.5448388,0.5276731,0.5594771,852.813,60.63552,15.23267,61.84679,15.17622,7.120592,9.676137,460.3421,56.32495,22.84484,49.51342,21.41698,22.00394,29.77601,-1.393029,16.65636,1.000721,14.14965,0.9364114,0.999827,0.9409107,228.8808,63.03248,11.75847,53.72988,10.46292,5.672539,6.279558
